,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,34.9,91.26 $\pm$ 0.67,90.38 $\pm$ 0.96,97.95 $ \pm$ 0.60,97.13 $ \pm$ 0.77, 87.04 $ \pm$ 1.01, 85.90 $ \pm$ 1.52, 89.17 $ \pm$ 0.89, 88.43 $ \pm$ 1.19, 40.96 $\pm$19.63, 40.96 $\pm$19.63,0.060 $\pm$0.003 ,0.150 $\pm$0.011 , 72.60 $\pm$5.47, 52.25 $\pm$16.10,0.015 $\pm$0.001,0.057 $\pm$0.006
1,V,34.88,87.97 $\pm$ 0.89,86.44 $\pm$ 1.36,95.51 $ \pm$ 0.62,95.03 $ \pm$ 0.85, 81.39 $ \pm$ 1.37, 79.36 $ \pm$ 2.58, 86.76 $ \pm$ 1.23, 84.82 $ \pm$ 1.72, 76.20 $\pm$3.41, 76.20 $\pm$3.41,0.070 $\pm$0.003 ,0.270 $\pm$0.009 , 93.37 $\pm$1.21, 89.65 $\pm$6.34,0.014 $\pm$0.001,0.120 $\pm$0.005
2,Cr,35.31,94.37 $\pm$ 0.89,90.67 $\pm$ 1.70,99.23 $ \pm$ 0.48,98.26 $ \pm$ 1.03, 91.63 $ \pm$ 1.42, 86.59 $ \pm$ 2.46, 92.47 $ \pm$ 1.19, 87.48 $ \pm$ 2.27, 68.71 $\pm$12.84, 68.71 $\pm$12.84,0.070 $\pm$0.004 ,0.260 $\pm$0.016 , 91.53 $\pm$3.03, 79.24 $\pm$9.87,0.020 $\pm$0.002,0.160 $\pm$0.011
3,Mn,35.41,89.16 $\pm$ 0.69,86.91 $\pm$ 1.02,98.90 $ \pm$ 0.30,97.76 $ \pm$ 0.55, 84.27 $ \pm$ 0.95, 80.68 $ \pm$ 1.80, 85.09 $ \pm$ 1.11, 82.88 $ \pm$ 1.56, 78.38 $\pm$5.61, 78.38 $\pm$5.61,0.060 $\pm$0.002 ,0.250 $\pm$0.012 , 90.75 $\pm$1.57, 85.86 $\pm$5.61,0.017 $\pm$0.001,0.123 $\pm$0.006
4,Fe,34.35,90.42 $\pm$ 0.59,87.10 $\pm$ 1.23,96.22 $ \pm$ 0.63,92.92 $ \pm$ 1.23, 85.52 $ \pm$ 1.02, 80.93 $ \pm$ 1.91, 89.62 $ \pm$ 0.84, 87.55 $ \pm$ 1.31, 70.19 $\pm$8.05, 70.19 $\pm$8.05,0.100 $\pm$0.003 ,0.260 $\pm$0.013 , 87.23 $\pm$1.76, 79.53 $\pm$5.36,0.016 $\pm$0.001,0.099 $\pm$0.005
5,Co,35.74,92.37 $\pm$ 0.96,87.79 $\pm$ 1.66,97.11 $ \pm$ 0.69,95.08 $ \pm$ 1.51, 88.32 $ \pm$ 1.46, 81.29 $ \pm$ 2.59, 91.70 $ \pm$ 1.27, 87.03 $ \pm$ 1.62, 71.22 $\pm$6.24, 71.22 $\pm$6.24,0.070 $\pm$0.005 ,0.200 $\pm$0.013 , 87.45 $\pm$3.11, 71.98 $\pm$8.97,0.018 $\pm$0.001,0.113 $\pm$0.005
6,Ni,36.59,94.19 $\pm$ 0.69,90.84 $\pm$ 1.48,99.24 $ \pm$ 0.40,98.41 $ \pm$ 0.73, 91.50 $ \pm$ 1.09, 86.49 $ \pm$ 2.37, 92.23 $ \pm$ 0.91, 88.06 $ \pm$ 1.96, 35.74 $\pm$16.19, 35.74 $\pm$16.19,0.060 $\pm$0.003 ,0.130 $\pm$0.010 , 86.70 $\pm$5.33, 73.82 $\pm$11.26,0.015 $\pm$0.001,0.098 $\pm$0.006
7,Cu,36.69,95.63 $\pm$ 0.63,91.78 $\pm$ 1.59,96.89 $ \pm$ 0.70,93.77 $ \pm$ 1.28, 93.48 $ \pm$ 0.93, 87.64 $ \pm$ 2.30, 96.52 $ \pm$ 0.63, 93.82 $ \pm$ 1.65, 65.44 $\pm$6.71, 65.44 $\pm$6.71,0.080 $\pm$0.004 ,0.220 $\pm$0.015 , 57.33 $\pm$3.65, 28.43 $\pm$43.86,0.054 $\pm$0.002,0.133 $\pm$0.007
8,'Avgs.',35.48, 91.92, 88.99, 97.63, 96.04, 87.89, 83.61, 90.44, 87.51, 63.35, 63.35, 0.07, 0.22, 83.37, 70.1, 0.02, 0.11
